WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
122,AUT,PCPIEPCH,Austria,"Inflation, end of period consumer prices",Percent change,Units,6.661,6.407,4.726,3.785,5.049,2.804,1.104,1.642,1.866,2.479,3.13,2.73,3.741,3.096,2.388,0.555,2.336,0.996,0.493,1.663,1.824,1.765,1.682,1.336,2.512,1.531,1.629,3.467,1.469,1.052,2.182,3.395,2.913,1.987,0.807,1.071,1.585,2.331,1.715,1.827,1.012,3.789,10.54,5.653,2.134,2024
912,AZE,PCPI,Azerbaijan,"Inflation, average consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.063,0.773,13.635,69.78,83.592,86.664,85.994,78.663,80.083,81.499,83.746,85.523,91.26,100,108.3,126.4,152.7,154.93,163.8,176.7,178.6,182.9,185.4,192.89,216.9,244.96,250.5,257,264.1,281.7,320.74,349.008,356.686,2024
912,AZE,PCPIPCH,Azerbaijan,"Inflation, average consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,129.70","1,664.00",411.76,19.795,3.674,-0.773,-8.525,1.805,1.768,2.758,2.121,6.709,9.577,8.3,16.713,20.807,1.46,5.725,7.875,1.075,2.408,1.367,4.04,12.448,12.937,2.262,2.595,2.763,6.664,13.859,8.813,2.2,2024
912,AZE,PCPIE,Azerbaijan,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.159,2.303,43.567,80.422,85.792,86.126,79.586,79.215,80.959,82.4,85,88,97.2,102.41,114.126,136.449,157.4,158.5,171.05,180.67,180.2,186.55,186.28,200.4,231.8,250.2,254,260,266.8,298.8,341.7,348.847,365.941,2024
912,AZE,PCPIEPCH,Azerbaijan,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,350.00","1,792.14",84.595,6.677,0.389,-7.593,-0.467,2.202,1.78,3.155,3.529,10.455,5.36,11.44,19.56,15.355,0.699,7.918,5.624,-0.26,3.524,-0.145,7.58,15.669,7.938,1.519,2.362,2.615,11.994,14.357,2.092,4.9,2024
313,BHS,PCPI,The Bahamas,"Inflation, average consumer prices",Index,Units,34.371,38.167,40.496,42.116,43.786,45.811,48.291,51.186,53.259,56.138,58.736,63.026,66.541,68.37,69.305,70.707,71.599,72.001,72.87,73.686,74.962,76.733,77.883,80.731,81.668,83.153,84.781,86.822,90.671,92.181,93.676,96.546,98.392,98.831,100,101.878,101.542,103.065,105.402,108.028,108.07,111.209,117.443,121.036,121.535,2023
313,BHS,PCPIPCH,The Bahamas,"Inflation, average consumer prices",Percent change,Units,12.231,11.046,6.101,4,3.966,4.624,5.414,5.994,4.051,5.405,4.628,7.304,5.577,2.748,1.367,2.023,1.262,0.561,1.207,1.119,1.732,2.362,1.498,3.657,1.16,1.819,1.958,2.407,4.434,1.666,1.621,3.064,1.912,0.445,1.183,1.878,-0.33,1.5,2.268,2.491,0.039,2.905,5.605,3.059,0.413,2023
313,BHS,PCPIE,The Bahamas,"Inflation, end of period consumer prices",Index,Units,36.182,39.434,41.231,42.668,44.626,46.769,49.958,51.982,54.614,56.993,61.003,64.914,67.189,68.967,69.962,71.099,71.809,72.377,73.443,74.579,75.396,77.321,78.784,81.225,82.568,83.563,85.596,87.904,91.585,93.09,94.644,97.523,98.162,99.1,99.3,101.31,102.29,103.94,105.98,107.5,108.75,113.24,119.44,121.71,121.75,2023
313,BHS,PCPIEPCH,The Bahamas,"Inflation, end of period consumer prices",Percent change,Units,12.138,8.987,4.556,3.486,4.589,4.802,6.818,4.053,5.063,4.356,7.036,6.41,3.505,2.646,1.443,1.625,0.999,0.791,1.472,1.547,1.095,2.553,1.892,3.098,1.654,1.205,2.433,2.697,4.187,1.643,1.669,3.042,0.655,0.955,0.202,2.024,0.967,1.613,1.963,1.434,1.163,4.129,5.475,1.901,0.033,2023
419,BHR,PCPI,Bahrain,"Inflation, average consumer prices",Index,Units,51.734,57.632,62.646,64.65,64.65,63.099,61.521,60.475,60.596,61.324,62.12,62.678,62.489,64.113,66.676,68.77,68.642,71.801,71.5,70.6,70.084,69.261,68.918,70.075,71.651,73.526,75.027,77.466,80.204,82.438,84.055,83.773,86.082,88.924,91.277,92.964,95.557,96.881,98.907,99.903,97.58,96.983,100.508,100.583,101.508,2024
419,BHR,PCPIPCH,Bahrain,"Inflation, average consumer prices",Percent change,Units,3.8,11.4,8.7,3.2,0,-2.4,-2.5,-1.7,0.2,1.2,1.299,0.899,-0.302,2.599,3.999,3.139,-0.185,4.602,-0.418,-1.259,-0.73,-1.175,-0.496,1.679,2.248,2.618,2.041,3.252,3.533,2.785,1.962,-0.336,2.756,3.302,2.646,1.849,2.789,1.386,2.091,1.007,-2.325,-0.611,3.635,0.075,0.92,2024
419,BHR,PCPIE,Bahrain,"Inflation, end of period consumer prices",Index,Units,52.068,56.062,61.656,65.254,66.281,65.486,63.882,62.537,62.063,62.498,62.396,62.58,63.297,65.391,67.719,68.702,70.217,71.646,71.046,70.338,69.669,69.085,69.492,70.859,72.584,74.272,75.072,78.076,82.075,83.35,84.17,84.33,86.53,89.95,92.19,92.9,95.04,96.32,98.23,99.4,97.8,97.4,100.9,100.6,101.1,2024
419,BHR,PCPIEPCH,Bahrain,"Inflation, end of period consumer prices",Percent change,Units,3.009,7.671,9.977,5.835,1.575,-1.2,-2.449,-2.105,-0.758,0.701,-0.163,0.296,1.146,3.308,3.561,1.451,2.206,2.035,-0.838,-0.997,-0.952,-0.837,0.589,1.966,2.435,2.326,1.077,4.001,5.122,1.554,0.984,0.19,2.609,3.952,2.49,0.77,2.304,1.347,1.983,1.191,-1.61,-0.409,3.593,-0.297,0.497,2024
513,BGD,PCPI,Bangladesh,"Inflation, average consumer prices",Index,Units,14.677,16.869,19.172,21.301,23.429,25.875,28.544,31.546,34.77,37.963,41.632,45.524,48.193,49.781,52.065,56.676,60.552,62.163,66.301,72.204,74.82,76.176,78.009,81.036,87.632,93.316,100,107.205,117.858,125.701,134.897,146.751,159.795,170.624,183.164,194.896,206.427,217.657,230.243,242.848,256.563,270.822,287.477,313.396,343.889,2024
513,BGD,PCPIPCH,Bangladesh,"Inflation, average consumer prices",Percent change,Units,7.692,14.935,13.653,11.102,9.993,10.441,10.313,10.518,10.222,9.182,9.665,9.348,5.862,3.296,4.588,8.857,6.838,2.661,6.657,8.904,3.623,1.812,2.407,3.881,8.139,6.486,7.163,7.205,9.937,6.655,7.316,8.787,8.889,6.777,7.349,6.405,5.916,5.44,5.783,5.475,5.648,5.558,6.15,9.016,9.73,2024
